Fecha;Moneda;Saldo;TC Oficial;Saldo (BOB);Cod Agencia;Agencia;;
2023-11-04;BRL;11360,00;1,37447;15613,98;202;AGENCIA COLON;;
2023-11-04;EUR;4235,00;7,22493;30597,58;202;AGENCIA COLON;;
2023-11-04;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-04;PEN;5850,00;1,78711;10454,59;202;AGENCIA COLON;;
2023-11-04;USD;4036,00;6,86;27686,96;210;AGENCIA 6 DE MARZO;;
2023-11-04;BOB;96670,30;1;96670,30;210;AGENCIA 6 DE MARZO;;
2023-11-04;CLP;15000,00;0,00767;115,05;210;AGENCIA 6 DE MARZO;;
2023-11-04;BRL;0,00;1,37447;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-04;EUR;50,00;7,22493;361,25;210;AGENCIA 6 DE MARZO;;
2023-11-04;PEN;0,00;1,78711;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-04;USD;1350,00;6,86;9261,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;BOB;168003,80;1;168003,80;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;CLP;25000,00;0,00767;191,75;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;BRL;1185,00;1,37447;1628,75;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;EUR;430,00;7,22493;3106,72;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;ARS;0,00;0,0196;0,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;PEN;230,00;1,78711;411,04;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-04;USD;5720,00;6,86;39239,20;401;AGENCIA ORURO CENTRAL;;
2023-11-04;BOB;61825,10;1;61825,10;401;AGENCIA ORURO CENTRAL;;
2023-11-04;CLP;340000,00;0,00767;2607,80;401;AGENCIA ORURO CENTRAL;;
2023-11-04;BRL;0,00;1,37447;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;EUR;620,00;7,22493;4479,46;401;AGENCIA ORURO CENTRAL;;
2023-11-04;AUD;0,00;4,36912;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;CAD;0,00;4,93916;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;PEN;0,00;1,78711;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;GBP;0,00;8,31223;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;CHF;0,00;7,53763;0,00;401;AGENCIA ORURO CENTRAL;;
2023-11-04;USD;295,00;6,86;2023,70;501;AGENCIA UYUNI;;
2023-11-04;BOB;75975,50;1;75975,50;501;AGENCIA UYUNI;;
2023-11-04;CLP;484200,00;0,00767;3713,81;501;AGENCIA UYUNI;;
2023-11-04;BRL;0,00;1,37447;0,00;501;AGENCIA UYUNI;;
2023-11-04;EUR;1230,00;7,22493;8886,66;501;AGENCIA UYUNI;;
2023-11-04;PEN;50,00;1,78711;89,36;501;AGENCIA UYUNI;;
2023-11-04;USD;13550,00;6,86;92953,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-04;BOB;22062,60;1;22062,60;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-04;CLP;0,00;0,00767;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
2023-11-04;BRL;0,00;1,37447;0,00;701;AGENCIA SANTA CRUZ CENTRAL;;
